T25,Land,,,,,
581,U.S. Minor Outlying islands,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),96.01,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
581,U.S. Minor Outlying islands,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),96.01,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
840,United States of America,2005,Land area (thousand hectares),"916,192",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2005,Arable land (thousand hectares),"166,271",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2005,Permanent crops (thousand hectares),"2,700",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2005,Forest cover (thousand hectares),"306,128",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2005,Arable land (% of total land area),18.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2005,Permanent crops (% of total land area),0.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2005,Forest cover (% of total land area),33.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),35.34,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
840,United States of America,2010,Land area (thousand hectares),"914,742",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2010,Arable land (thousand hectares),"157,717",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2010,Permanent crops (thousand hectares),"2,700",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2010,Forest cover (thousand hectares),"308,720",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2010,Arable land (% of total land area),17.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2010,Permanent crops (% of total land area),0.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2010,Forest cover (% of total land area),33.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),36.80,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
840,United States of America,2019,Land area (thousand hectares),"914,742",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2019,Arable land (thousand hectares),"157,737",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2019,Permanent crops (thousand hectares),"2,700",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2019,Forest cover (thousand hectares),"309,795",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2019,Arable land (% of total land area),17.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2019,Permanent crops (% of total land area),0.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2019,Forest cover (% of total land area),33.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
840,United States of America,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),38.29,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
840,United States of America,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),38.29,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
850,United States Virgin Islands,2005,Land area (thousand hectares),35,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2005,Arable land (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2005,Permanent crops (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2005,Forest cover (thousand hectares),19,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2005,Arable land (% of total land area),5.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2005,Permanent crops (% of total land area),2.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2005,Forest cover (% of total land area),55.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),42.97,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
850,United States Virgin Islands,2010,Land area (thousand hectares),35,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2010,Arable land (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2010,Permanent crops (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2010,Forest cover (thousand hectares),18,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2010,Arable land (% of total land area),2.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2010,Permanent crops (% of total land area),2.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2010,Forest cover (% of total land area),52.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),42.97,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
850,United States Virgin Islands,2019,Land area (thousand hectares),35,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2019,Arable land (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2019,Permanent crops (thousand hectares),0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2019,Forest cover (thousand hectares),20,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2019,Arable land (% of total land area),2.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2019,Permanent crops (% of total land area),0.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2019,Forest cover (% of total land area),56.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
850,United States Virgin Islands,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.37,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
850,United States Virgin Islands,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.37,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
858,Uruguay,2005,Land area (thousand hectares),"17,502",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2005,Arable land (thousand hectares),"1,392",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2005,Permanent crops (thousand hectares),40,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2005,Forest cover (thousand hectares),"1,550",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2005,Arable land (% of total land area),8.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2005,Permanent crops (% of total land area),0.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2005,Forest cover (% of total land area),8.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),6.32,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
858,Uruguay,2010,Land area (thousand hectares),"17,502",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2010,Arable land (thousand hectares),"2,033",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2010,Permanent crops (thousand hectares),38,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2010,Forest cover (thousand hectares),"1,731",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2010,Arable land (% of total land area),11.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2010,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2010,Forest cover (% of total land area),9.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),11.96,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
858,Uruguay,2019,Land area (thousand hectares),"17,502",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2019,Arable land (thousand hectares),"2,008",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2019,Permanent crops (thousand hectares),39,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2019,Forest cover (thousand hectares),"2,010",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2019,Arable land (% of total land area),11.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2019,Permanent crops (% of total land area),0.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2019,Forest cover (% of total land area),11.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
858,Uruguay,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),23.30,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
858,Uruguay,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),23.30,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
860,Uzbekistan,2005,Land area (thousand hectares),"43,585",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2005,Arable land (thousand hectares),"4,367",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2005,Permanent crops (thousand hectares),349,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2005,Forest cover (thousand hectares),"3,156",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2005,Arable land (% of total land area),10.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2005,Permanent crops (% of total land area),0.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2005,Forest cover (% of total land area),7.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),15.39,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
860,Uzbekistan,2010,Land area (thousand hectares),"43,589",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2010,Arable land (thousand hectares),"4,172",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2010,Permanent crops (thousand hectares),359,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2010,Forest cover (thousand hectares),"3,350",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2010,Arable land (% of total land area),9.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2010,Permanent crops (% of total land area),0.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2010,Forest cover (% of total land area),7.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.39,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
860,Uzbekistan,2019,Land area (thousand hectares),"44,056",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2019,Arable land (thousand hectares),"4,034",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2019,Permanent crops (thousand hectares),404,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2019,Forest cover (thousand hectares),"3,664",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2019,Arable land (% of total land area),9.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2019,Permanent crops (% of total land area),0.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2019,Forest cover (% of total land area),8.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
860,Uzbekistan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),17.73,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
860,Uzbekistan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),17.73,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
548,Vanuatu,2005,Land area (thousand hectares),"1,219",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2005,Arable land (thousand hectares),20,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2005,Permanent crops (thousand hectares),121,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2005,Forest cover (thousand hectares),442,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2005,Arable land (% of total land area),1.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2005,Permanent crops (% of total land area),9.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2005,Forest cover (% of total land area),36.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),2.84,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
548,Vanuatu,2010,Land area (thousand hectares),"1,219",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2010,Arable land (thousand hectares),20,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2010,Permanent crops (thousand hectares),125,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2010,Forest cover (thousand hectares),442,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2010,Arable land (% of total land area),1.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2010,Permanent crops (% of total land area),10.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2010,Forest cover (% of total land area),36.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),2.84,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
548,Vanuatu,2019,Land area (thousand hectares),"1,219",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2019,Arable land (thousand hectares),20,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2019,Permanent crops (thousand hectares),125,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2019,Forest cover (thousand hectares),442,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2019,Arable land (% of total land area),1.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2019,Permanent crops (% of total land area),10.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2019,Forest cover (% of total land area),36.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
548,Vanuatu,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),2.84,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
548,Vanuatu,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),2.84,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
862,Venezuela (Boliv. Rep. of),2005,Land area (thousand hectares),"88,205",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2005,Arable land (thousand hectares),"2,655",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2005,Permanent crops (thousand hectares),700,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2005,Forest cover (thousand hectares),"48,328",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2005,Arable land (% of total land area),3.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2005,Permanent crops (% of total land area),0.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2005,Forest cover (% of total land area),54.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2005,Important sites for terrestrial biodiversity protected (% of total sites protected),78.78,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
862,Venezuela (Boliv. Rep. of),2010,Land area (thousand hectares),"88,205",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2010,Arable land (thousand hectares),"2,600",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2010,Permanent crops (thousand hectares),700,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2010,Forest cover (thousand hectares),"47,505",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2010,Arable land (% of total land area),2.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2010,Permanent crops (% of total land area),0.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2010,Forest cover (% of total land area),53.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2010,Important sites for terrestrial biodiversity protected (% of total sites protected),78.78,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
862,Venezuela (Boliv. Rep. of),2019,Land area (thousand hectares),"88,205",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2019,Arable land (thousand hectares),"2,600",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2019,Permanent crops (thousand hectares),700,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2019,Forest cover (thousand hectares),"46,272",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2019,Arable land (% of total land area),2.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2019,Permanent crops (% of total land area),0.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2019,Forest cover (% of total land area),52.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
862,Venezuela (Boliv. Rep. of),2019,Important sites for terrestrial biodiversity protected (% of total sites protected),78.78,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
862,Venezuela (Boliv. Rep. of),2021,Important sites for terrestrial biodiversity protected (% of total sites protected),78.78,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
704,Viet Nam,2005,Land area (thousand hectares),"31,284",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2005,Arable land (thousand hectares),"6,358",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2005,Permanent crops (thousand hectares),"3,054",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2005,Forest cover (thousand hectares),"12,586",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2005,Arable land (% of total land area),20.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2005,Permanent crops (% of total land area),9.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2005,Forest cover (% of total land area),40.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
